"id","override","price","availability","link"
"51728887120219","AE","59.00 AED","out of stock","https://purenbio.com/en-ae/products/monoi-tiare-shower-gel-certified-organic-born-to-bio-vichy?variant=51728887120219"
"51729114104155","AE","65.00 AED","out of stock","https://purenbio.com/en-ae/products/organic-ylang-ylang-shower-foam-certified-organic-born-to-bio-vichy?variant=51729114104155"
"51729234133339","AE","76.00 AED","out of stock","https://purenbio.com/en-ae/products/neutral-hand-wash-gel-fragrance-free-certified-organic-born-to-bio-vichy?variant=51729234133339"
"51729288135003","AE","65.00 AED","out of stock","https://purenbio.com/en-ae/products/organic-green-mint-shower-foam-certified-organic-born-to-bio-vichy?variant=51729288135003"
"51729322180955","AE","65.00 AED","out of stock","https://purenbio.com/en-ae/products/organic-argan-shower-foam-certified-organic-born-to-bio-vichy?variant=51729322180955"
"51729981407579","AE","65.00 AED","out of stock","https://purenbio.com/en-ae/products/organic-verbena-lemon-shower-foam-certified-organic-born-to-bio-vichy?variant=51729981407579"
"51729982685531","AE","58.00 AED","out of stock","https://purenbio.com/en-ae/products/organic-energizing-cotton-face-mask-certified-organic-born-to-bio-vichy?variant=51729982685531"
"51736428675419","AE","69.00 AED","out of stock","https://purenbio.com/en-ae/products/organic-aloe-vera-gel-certified-organic-born-to-bio-vichy?variant=51736428675419"
"51736516198747","AE","157.00 AED","out of stock","https://purenbio.com/en-ae/products/organic-rose-argan-day-cream-certified-organic-born-to-bio-vichy?variant=51736516198747"
"51736516264283","AE","146.00 AED","out of stock","https://purenbio.com/en-ae/products/organic-rose-argan-eye-contour-gel-certified-organic-born-to-bio-vichy?variant=51736516264283"
"51736738922843","AE","116.00 AED","out of stock","https://purenbio.com/en-ae/products/organic-milky-cleansing-oil-certified-organic-born-to-bio-vichy?variant=51736738922843"
"51736739053915","AE","97.00 AED","out of stock","https://purenbio.com/en-ae/products/organic-micellar-cleansing-gel-rose-de-damas-certified-organic-born-to-bio-vichy?variant=51736739053915"
"51736739152219","AE","58.00 AED","out of stock","https://purenbio.com/en-ae/products/organic-youth-radiance-eye-patches-certified-organic-born-to-bio-vichy?variant=51736739152219"
"51736739283291","AE","58.00 AED","out of stock","https://purenbio.com/en-ae/products/organic-cotton-mask-with-baobab-extract-certified-organic-born-to-bio-vichy?variant=51736739283291"
"51774144250203","AE","58.00 AED","out of stock","https://purenbio.com/en-ae/products/organic-cotton-nourishing-face-mask-certified-organic-born-to-bio-vichy?variant=51774144250203"
"51797991162203","AE","58.00 AED","out of stock","https://purenbio.com/en-ae/products/organic-cotton-soothing-care-face-mask-certified-organic-born-to-bio-vichy?variant=51797991162203"
"51801953763675","AE","83.00 AED","out of stock","https://purenbio.com/en-ae/products/jojoba-care-oil-certified-organic-born-to-bio-vichy?variant=51801953763675"
"51802184155483","AE","83.00 AED","out of stock","https://purenbio.com/en-ae/products/organic-sweet-almond-care-oil-certified-organic-born-to-bio-vichy?variant=51802184155483"
"51803632206171","AE","116.00 AED","in stock","https://purenbio.com/en-ae/products/organic-makeup-base-certified-organic-born-to-bio?variant=51803632206171"
"52880334225755","AE","167.00 AED","out of stock","https://purenbio.com/en-ae/products/organic-rose-argan-night-cream-born-to-bio?variant=52880334225755"
